Capricorn 6,Aquarius 6,Pisces 6,14,17
Capricorn 6,Aquarius 6,Pisces 5,13,14
Capricorn 6,Aquarius 6,Pisces 4A,14,15
Capricorn 6,Aquarius 6,Pisces 4B,11,15
Capricorn 6,Aquarius 6,Pisces Alt,11,12
Capricorn 6,Aquarius 5,Pisces 6,15,18
Capricorn 6,Aquarius 5,Pisces 5,14,17
Capricorn 6,Aquarius 5,Pisces 4A,15,15
Capricorn 6,Aquarius 5,Pisces 4B,12,15
Capricorn 6,Aquarius 5,Pisces Alt,12,15
Capricorn 6,Aquarius 4A,Pisces 6,15,18
Capricorn 6,Aquarius 4A,Pisces 5,14,16
Capricorn 6,Aquarius 4A,Pisces 4A,15,14
Capricorn 6,Aquarius 4A,Pisces 4B,12,13
Capricorn 6,Aquarius 4A,Pisces Alt,12,14
Capricorn 6,Aquarius 4B,Pisces 6,13,16
Capricorn 6,Aquarius 4B,Pisces 5,12,15
Capricorn 6,Aquarius 4B,Pisces 4A,13,14
Capricorn 6,Aquarius 4B,Pisces 4B,10,15
Capricorn 6,Aquarius 4B,Pisces Alt,10,13
Capricorn 6,Aquarius Alt,Pisces 6,13,15
Capricorn 6,Aquarius Alt,Pisces 5,12,13
Capricorn 6,Aquarius Alt,Pisces 4A,13,11
Capricorn 6,Aquarius Alt,Pisces 4B,10,13
Capricorn 6,Aquarius Alt,Pisces Alt,10,11
Capricorn 5,Aquarius 6,Pisces 6,14,15
Capricorn 5,Aquarius 6,Pisces 5,13,15
Capricorn 5,Aquarius 6,Pisces 4A,14,14
Capricorn 5,Aquarius 6,Pisces 4B,11,15
Capricorn 5,Aquarius 6,Pisces Alt,11,13
Capricorn 5,Aquarius 5,Pisces 6,15,17
Capricorn 5,Aquarius 5,Pisces 5,14,17
Capricorn 5,Aquarius 5,Pisces 4A,15,14
Capricorn 5,Aquarius 5,Pisces 4B,12,15
Capricorn 5,Aquarius 5,Pisces Alt,12,15
Capricorn 5,Aquarius 4A,Pisces 6,15,16
Capricorn 5,Aquarius 4A,Pisces 5,14,16
Capricorn 5,Aquarius 4A,Pisces 4A,15,14
Capricorn 5,Aquarius 4A,Pisces 4B,12,13
Capricorn 5,Aquarius 4A,Pisces Alt,12,14
Capricorn 5,Aquarius 4B,Pisces 6,13,14
Capricorn 5,Aquarius 4B,Pisces 5,12,15
Capricorn 5,Aquarius 4B,Pisces 4A,13,13
Capricorn 5,Aquarius 4B,Pisces 4B,10,13
Capricorn 5,Aquarius 4B,Pisces Alt,10,13
Capricorn 5,Aquarius Alt,Pisces 6,13,13
Capricorn 5,Aquarius Alt,Pisces 5,12,13
Capricorn 5,Aquarius Alt,Pisces 4A,13,11
Capricorn 5,Aquarius Alt,Pisces 4B,10,13
Capricorn 5,Aquarius Alt,Pisces Alt,10,11
Capricorn 4A,Aquarius 6,Pisces 6,13,14
Capricorn 4A,Aquarius 6,Pisces 5,12,11
Capricorn 4A,Aquarius 6,Pisces 4A,13,12
Capricorn 4A,Aquarius 6,Pisces 4B,10,14
Capricorn 4A,Aquarius 6,Pisces Alt,10,9
Capricorn 4A,Aquarius 5,Pisces 6,14,17
Capricorn 4A,Aquarius 5,Pisces 5,13,14
Capricorn 4A,Aquarius 5,Pisces 4A,14,13
Capricorn 4A,Aquarius 5,Pisces 4B,11,14
Capricorn 4A,Aquarius 5,Pisces Alt,11,12
Capricorn 4A,Aquarius 4A,Pisces 6,14,15
Capricorn 4A,Aquarius 4A,Pisces 5,13,13
Capricorn 4A,Aquarius 4A,Pisces 4A,14,13
Capricorn 4A,Aquarius 4A,Pisces 4B,11,12
Capricorn 4A,Aquarius 4A,Pisces Alt,11,11
Capricorn 4A,Aquarius 4B,Pisces 6,12,13
Capricorn 4A,Aquarius 4B,Pisces 5,11,12
Capricorn 4A,Aquarius 4B,Pisces 4A,12,13
Capricorn 4A,Aquarius 4B,Pisces 4B,9,14
Capricorn 4A,Aquarius 4B,Pisces Alt,9,10
Capricorn 4A,Aquarius Alt,Pisces 6,12,12
Capricorn 4A,Aquarius Alt,Pisces 5,11,10
Capricorn 4A,Aquarius Alt,Pisces 4A,12,9
Capricorn 4A,Aquarius Alt,Pisces 4B,9,12
Capricorn 4A,Aquarius Alt,Pisces Alt,9,8
Capricorn 4B,Aquarius 6,Pisces 6,13,14
Capricorn 4B,Aquarius 6,Pisces 5,12,14
Capricorn 4B,Aquarius 6,Pisces 4A,13,13
Capricorn 4B,Aquarius 6,Pisces 4B,10,13
Capricorn 4B,Aquarius 6,Pisces Alt,10,12
Capricorn 4B,Aquarius 5,Pisces 6,14,16
Capricorn 4B,Aquarius 5,Pisces 5,13,15
Capricorn 4B,Aquarius 5,Pisces 4A,14,13
Capricorn 4B,Aquarius 5,Pisces 4B,11,13
Capricorn 4B,Aquarius 5,Pisces Alt,11,13
Capricorn 4B,Aquarius 4A,Pisces 6,14,15
Capricorn 4B,Aquarius 4A,Pisces 5,13,14
Capricorn 4B,Aquarius 4A,Pisces 4A,14,13
Capricorn 4B,Aquarius 4A,Pisces 4B,11,13
Capricorn 4B,Aquarius 4A,Pisces Alt,11,12
Capricorn 4B,Aquarius 4B,Pisces 6,12,12
Capricorn 4B,Aquarius 4B,Pisces 5,11,12
Capricorn 4B,Aquarius 4B,Pisces 4A,12,11
Capricorn 4B,Aquarius 4B,Pisces 4B,9,11
Capricorn 4B,Aquarius 4B,Pisces Alt,9,10
Capricorn 4B,Aquarius Alt,Pisces 6,12,13
Capricorn 4B,Aquarius Alt,Pisces 5,11,13
Capricorn 4B,Aquarius Alt,Pisces 4A,12,11
Capricorn 4B,Aquarius Alt,Pisces 4B,9,12
Capricorn 4B,Aquarius Alt,Pisces Alt,9,11
Capricorn Alt,Aquarius 6,Pisces 6,12,14
Capricorn Alt,Aquarius 6,Pisces 5,11,12
Capricorn Alt,Aquarius 6,Pisces 4A,12,12
Capricorn Alt,Aquarius 6,Pisces 4B,9,12
Capricorn Alt,Aquarius 6,Pisces Alt,9,10
