Capricorn 6,Aquarius Alt,Pisces 6,13,14,13
Capricorn 6,Aquarius Alt,Pisces 5,12,16,13
Capricorn 6,Aquarius Alt,Pisces 4A,13,10,11
Capricorn 6,Aquarius Alt,Pisces 4B,10,14,15
Capricorn 6,Aquarius Alt,Pisces Alt,10,14,11
Capricorn 5,Aquarius 4A,Pisces 6,15,22,20
Capricorn 5,Aquarius 4A,Pisces 5,14,22,18
Capricorn 5,Aquarius 4A,Pisces 4A,15,18,16
Capricorn 5,Aquarius 4A,Pisces 4B,12,18,18
Capricorn 5,Aquarius 4A,Pisces Alt,12,20,16
Capricorn 5,Aquarius Alt,Pisces 6,13,8,6
Capricorn 5,Aquarius Alt,Pisces 5,12,10,4
Capricorn 5,Aquarius Alt,Pisces 4A,13,8,7
Capricorn 5,Aquarius Alt,Pisces 4B,10,10,10
Capricorn 5,Aquarius Alt,Pisces Alt,10,8,4
Capricorn 4A,Aquarius 4A,Pisces 6,14,18,16
Capricorn 4A,Aquarius 4A,Pisces 5,13,18,14
Capricorn 4A,Aquarius 4A,Pisces 4A,14,16,15
Capricorn 4A,Aquarius 4A,Pisces 4B,11,16,12
Capricorn 4A,Aquarius 4A,Pisces Alt,11,16,15
Capricorn 4A,Aquarius Alt,Pisces 6,12,7,6
Capricorn 4A,Aquarius Alt,Pisces 5,11,7,6
Capricorn 4A,Aquarius Alt,Pisces 4A,12,10,10
Capricorn 4A,Aquarius Alt,Pisces 4B,9,12,12
Capricorn 4A,Aquarius Alt,Pisces Alt,9,8,6
Capricorn 4B,Aquarius 4A,Pisces 6,14,18,14
Capricorn 4B,Aquarius 4A,Pisces 5,13,18,14
Capricorn 4B,Aquarius 4A,Pisces 4A,14,14,17
Capricorn 4B,Aquarius 4A,Pisces 4B,11,12,17
Capricorn 4B,Aquarius 4A,Pisces Alt,11,18,14
Capricorn 4B,Aquarius Alt,Pisces 6,12,6,6
Capricorn 4B,Aquarius Alt,Pisces 5,11,6,6
Capricorn 4B,Aquarius Alt,Pisces 4A,12,6,7
Capricorn 4B,Aquarius Alt,Pisces 4B,9,8,8
Capricorn 4B,Aquarius Alt,Pisces Alt,9,6,6
Capricorn Alt,Aquarius 4A,Pisces 6,13,14,12
Capricorn Alt,Aquarius 4A,Pisces 5,12,14,12
Capricorn Alt,Aquarius 4A,Pisces 4A,13,10,10
Capricorn Alt,Aquarius 4A,Pisces 4B,10,10,12
Capricorn Alt,Aquarius 4A,Pisces Alt,10,14,12
Capricorn Alt,Aquarius Alt,Pisces 6,11,4,6
Capricorn Alt,Aquarius Alt,Pisces 5,10,4,4
Capricorn Alt,Aquarius Alt,Pisces 4A,11,6,6
Capricorn Alt,Aquarius Alt,Pisces 4B,8,8,8
Capricorn Alt,Aquarius Alt,Pisces Alt,8,4,4
Capricorn 6,Aquarius Alt,Aries 6,13,12,13
Capricorn 6,Aquarius Alt,Aries 5,12,12,11
Capricorn 6,Aquarius Alt,Aries 4A,12,18,18
Capricorn 6,Aquarius Alt,Aries 4B,11,14,11
Capricorn 6,Aquarius Alt,Aries Alt,11,12,11
Capricorn 5,Aquarius 4A,Aries 5,14,16,18
Capricorn 5,Aquarius 4A,Aries 4A,14,18,18
Capricorn 5,Aquarius 4A,Aries 4B,13,20,16
Capricorn 5,Aquarius 4A,Aries Alt,13,16,18
Capricorn 5,Aquarius Alt,Aries 6,13,10,5
Capricorn 5,Aquarius Alt,Aries 5,12,8,7
Capricorn 5,Aquarius Alt,Aries 4A,12,12,11
Capricorn 5,Aquarius Alt,Aries 4B,11,8,6
Capricorn 5,Aquarius Alt,Aries Alt,11,8,8
